contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']"
charming,"['pleasant', 'fascinating', 'cute', 'absorbing', 'sweet', 'appealing', 'engaging', 'elegant', 'inviting', 'lovely', 'attractive', 'winning', 'entrancing', 'pleasing', 'choice', 'delicate', 'nice']"
absorbing,"['gripping', 'fascinating', 'interesting', 'arresting', 'consuming', 'exciting']"
arresting,"['impressive', 'remarkable', 'striking', 'extraordinary', 'pointed', 'bold', 'outstanding', 'prominent']"
impressive,"['remarkable', 'profound', 'imposing', 'dramatic', 'extraordinary', 'important', 'massive', 'exciting', 'intense', 'absorbing', 'affecting', 'effective', 'excited', 'grand', 'inspiring', 'moving', 'stirring', 'striking', 'touching', 'towering', 'vital', 'arresting']"
remarkable,"['curious', 'wonderful', 'odd', 'outstanding', 'striking', 'strange', 'important', 'significant', 'surprising', 'unique', 'rare', 'impressive', 'solid', 'distinguished', 'famous', 'marked', 'prominent', 'signal', 'super', 'arresting', 'greatest']"
curious,"['interested', 'puzzled', 'questioning', 'searching', 'interfering', 'examining', 'peering']"
interested,"['involved', 'absorbed', 'excited', 'moved', 'open', 'impressed', 'occupied', 'hooked', 'stimulated', 'touched', 'taken', 'drawn', 'struck', 'biased', 'affected', 'sold', 'inspired', 'caught', 'intent', 'partial', 'attracted', 'stirred']"
involved,"['elaborate', 'sophisticated', 'winding', 'confusing', 'complex', 'difficult']"
elaborate,"['detailed', 'busy', 'perfected', 'imposing', 'studied', 'sophisticated', 'labored', 'complicated', 'exact', 'careful', 'complex', 'elegant', 'extensive', 'minute', 'precise', 'decorated']"
detailed,"['precise', 'comprehensive', 'specific', 'complicated', 'exact', 'accurate', 'full', 'complete', 'developed', 'elaborate', 'exhausting', 'specified', 'narrow', 'individual', 'minute', 'nice', 'described', 'elaborated', 'unfolded', 'disclosed']"
precise,"['particular', 'actual', 'explicit', 'specific', 'strict', 'proper', 'narrow', 'correct', 'absolute', 'express', 'fixed', 'individual', 'limited', 'nice', 'restricted', 'right', 'very']"
particular,"['precise', 'distinct', 'appropriate', 'special', 'limited', 'full', 'express', 'individual', 'local', 'minute', 'accurate', 'detailed']"
distinct,"['specific', 'clear', 'decided', 'evident', 'explicit', 'express', 'marked', 'patent', 'plain', 'sharp']"
specific,"['precise', 'limited', 'different', 'distinct', 'explicit', 'individual', 'specialized', 'unique', 'exact', 'special', 'characteristic', 'express', 'set', 'sole', 'reserved', 'restricted']"
limited,"['narrow', 'particular', 'fixed', 'controlled', 'reserved', 'bound', 'qualified', 'modified', 'local', 'precise', 'defined', 'checked']"
narrow,"['precise', 'limited', 'tight', 'thin', 'small', 'exclusive', 'set', 'close', 'fine', 'select', 'spare', 'shrunken', 'near', 'fixed', 'pent', 'contracted']"
thin,"['fragile', 'lean', 'delicate', 'small', 'narrow', 'slight', 'pole', 'spare', 'wasted', 'shadow', 'peaked', 'subtle']"
fragile,"['weak', 'delicate', 'fine', 'slight']"
weak,"['uncertain', 'weakened', 'fragile', 'delicate', 'exhausted', 'faint', 'spent', 'tender', 'wasted']"
uncertain,"['risky', 'vague', 'variable']"
risky,"['uncertain', 'sensitive', 'delicate']"
sensitive,"['precise', 'nervous', 'conscious', 'delicate', 'emotional', 'knowing', 'seeing', 'understanding', 'feeling', 'fine', 'perceiving']"
nervous,"['afraid', 'concerned', 'weak', 'shy', 'bothered', 'disturbed', 'sensitive', 'shrinking', 'troubled', 'upset', 'worried']"
afraid,"['nervous', 'scared', 'suspicious', 'shocked', 'anxious', 'alarmed', 'discouraged', 'disturbed', 'frozen', 'upset', 'worried', 'cowed']"
scared,"['afraid', 'anxious', 'shaken', 'panicked']"
anxious,"['afraid', 'nervous', 'concerned', 'careful', 'scared', 'disturbed', 'shaking', 'troubled', 'bugged']"
concerned,"['anxious', 'disturbed', 'troubled', 'bothered', 'upset', 'exercised']"
troubled,"['puzzled', 'concerned', 'confused', 'anxious', 'pained', 'disturbed', 'bothered', 'scared', 'provoked', 'alarmed', 'shaken', 'upset', 'afraid']"
pained,"['troubled', 'injured', 'worried', 'hurt']"
injured,"['wounded', 'damaged', 'hurt']"
wounded,"['disabled', 'damaged', 'harmed', 'beaten', 'hurt']"
disabled,"['wounded', 'weakened', 'hurt']"
weakened,"['exhausted', 'weak', 'faint', 'drained']"
exhausted,"['disabled', 'weak', 'drained', 'weakened', 'spent', 'worn']"
drained,"['dragging', 'spent', 'dead']"
dragging,"['boring', 'long']"
boring,"['tiring', 'stupid', 'stereotyped', 'nothing', 'routine']"
tiring,"['demanding', 'exacting', 'taxing']"
demanding,"['tough', 'taxing', 'hard', 'pressing', 'exhausting', 'strict', 'critical', 'ambitious', 'exacting', 'trying', 'difficult', 'wearing']"
taxing,"['demanding', 'disturbing', 'trying', 'wearing', 'punishing', 'tiring', 'exacting', 'difficult', 'heavy', 'tough']"
trying,"['taxing', 'upsetting', 'demanding', 'fatiguing', 'exacting', 'rough', 'hard', 'severe', 'tight', 'tough']"
upsetting,"['alarming', 'threatening', 'discouraging', 'painful', 'trying', 'worrying', 'provoking', 'difficult', 'hard', 'severe', 'uncertain', 'troubling']"
discouraging,['black']
encouraging,"['supportive', 'promising']"
supportive,"['assistant', 'extra', 'reserve', 'secondary', 'spare', 'supporting']"
secondary,"['supporting', 'lower', 'extra', 'dependent', 'second', 'relief', 'small', 'subject', 'minor', 'reserve', 'lesser', 'under']"
supporting,"['for', 'aiding']"
main,"['prime', 'major', 'central', 'leading', 'primary', 'vital', 'fundamental', 'particular', 'essential', 'special', 'head', 'star', 'chief', 'capital', 'necessary', 'controlling', 'critical', 'crucial', 'outstanding', 'prevailing']"
major,"['dominant', 'big', 'primary', 'large', 'leading', 'extensive', 'main', 'considerable', 'superior', 'upper', 'better', 'elder', 'chief', 'above', 'senior', 'extreme', 'higher', 'most', 'greater', 'larger', 'exceeding']"
dominant,"['principal', 'leading', 'commanding', 'powerful', 'effective', 'main', 'prevailing', 'governing', 'chief', 'ruling', 'first', 'obtaining']"
principal,"['prime', 'major', 'dominant', 'outstanding', 'leading', 'primary', 'key', 'main', 'prominent', 'superior', 'head', 'star', 'champion', 'maximum', 'chief', 'capital', 'essential', 'first', 'controlling', 'highest', 'prevailing', 'greatest', 'strongest']"
outstanding,"['superior', 'great', 'dominant', 'impressive', 'well-known', 'famous', 'important', 'distinguished', 'special', 'celebrated', 'chief', 'main', 'major', 'principal', 'star', 'super', 'greatest', 'tops']"
superior,"['remarkable', 'good', 'exclusive', 'major', 'premium', 'expert', 'over', 'primary', 'choice', 'above', 'capital', 'senior', 'fine', 'distinguished', 'famous', 'preferred', 'prevailing', 'exceeding', 'finer', 'grander', 'more advanced']"
exclusive,"['limited', 'sole', 'private', 'licensed', 'absolute', 'unique', 'independent', 'full', 'entire', 'narrow', 'choice', 'chosen', 'single', 'particular', 'total', 'whole', 'closed', 'complete', 'elegant', 'only', 'select']"
sole,"['exclusive', 'remaining', 'separate', 'one', 'single', 'individual', 'particular', 'only', 'unique', 'onliest']"
remaining,"['resting', 'stopping', 'pausing', 'waiting']"
resting,"['sleeping', 'quiet', 'dreaming', 'asleep', 'comfortable', 'relaxing', 'crashed']"
sleeping,"['dreaming', 'asleep', 'crashed']"
dreaming,[]
asleep,"['dreaming', 'resting', 'sleeping', 'crashed']"
awake,"['alive', 'aware', 'knowing', 'excited']"
alive,"['awake', 'conscious', 'live', 'around', 'breathing', 'dynamic', 'existing', 'growing', 'knowing', 'living', 'running', 'vital', 'working', 'functioning']"
conscious,"['sure', 'certain', 'informed', 'aware', 'aesthetic', 'assured', 'knowing', 'known', 'noticing', 'noting', 'observing', 'perceiving', 'seeing', 'understanding', 'felt', 'recognizing', 'remarking']"
sure,"['confident', 'clear', 'convinced', 'assured', 'positive', 'constant', 'convincing', 'decided', 'enduring', 'firm', 'fixed', 'genuine', 'persuaded', 'real', 'satisfied', 'set', 'steady', 'telling', 'valid']"
confident,"['sure', 'bold', 'positive', 'satisfied', 'convinced', 'brave', 'secure', 'trusting', 'expecting', 'racked']"
bold,"['daring', 'forward', 'assuming']"
daring,"['bold', 'smart', 'forward', 'game', 'brave']"
smart,"['good', 'wise', 'bold', 'brilliant', 'bright', 'quick', 'sharp', 'knowing', 'skull', 'pointed', 'genius', 'ready', 'effective', 'fresh']"
wise,"['experienced', 'careful', 'educated', 'informed', 'aware', 'rational', 'smart', 'sound', 'knowing', 'understanding', 'grasping', 'sharp', 'cunning', 'calculating', 'taught', 'sensing']"
experienced,"['wise', 'capable', 'veteran', 'sophisticated', 'accomplished', 'qualified', 'seasoned', 'trained', 'professional', 'rounded', 'tried', 'instructed', 'tested', 'practiced', 'sport', 'expert', 'familiar', 'old', 'practical', 'pro']"
capable,"['experienced', 'suited', 'talented', 'efficient', 'gifted', 'able', 'accomplished', 'good', 'qualified', 'adequate', 'intelligent', 'adapted', 'fitted', 'proper', 'veteran']"
suited,"['appropriate', 'suitable', 'fitted']"
appropriate,"['relevant', 'useful', 'fitting', 'good', 'proper', 'correct', 'belonging', 'right', 'fit', 'deserved', 'becoming', 'adapted', 'due', 'just', 'true', 'desired']"
relevant,"['suited', 'consistent', 'related', 'important', 'significant', 'proper', 'suitable', 'becoming', 'concerning', 'correspondent', 'fit', 'fitting', 'material', 'pat', 'referring', 'relative']"
consistent,"['steady', 'logical', 'rational', 'even', 'expected', 'same', 'uniform', 'true']"
steady,"['constant', 'solid', 'reliable', 'safe', 'substantial', 'regular', 'even', 'firm', 'set', 'uniform', 'enduring', 'certain', 'sure', 'patterned']"
constant,"['consistent', 'steady', 'regular', 'stable', 'even', 'firm', 'uniform', 'permanent', 'connected', 'together']"
regular,"['formal', 'daily', 'traditional', 'legitimate', 'routine', 'proper', 'ordinary', 'typical', 'everyday', 'usual', 'natural', 'classic', 'official', 'standard', 'general', 'approved', 'correct', 'established', 'prevailing', 'sanctioned']"
formal,"['precise', 'academic', 'explicit', 'legal', 'strict', 'proper', 'express', 'set', 'official', 'regular', 'ritual', 'approved', 'confirmed', 'conventional', 'directed', 'fixed', 'stereotyped']"
academic,"['intellectual', 'university', 'college', 'learned']"
intellectual,"['mental', 'creative', 'psychological', 'rational', 'intelligent', 'learned']"
mental,"['spiritual', 'intellectual', 'psychological', 'deep', 'heavy', 'inner', 'mysterious', 'rational', 'reasoning', 'thinking']"
spiritual,"['divine', 'sacred', 'holy', 'pure']"
divine,"['spiritual', 'holy', 'sacred', 'wonderful', 'religious', 'beautiful', 'excellent']"
holy,"['spiritual', 'pure', 'divine', 'perfect', 'good', 'clean', 'believing', 'innocent', 'moral', 'blessed', 'dedicated', 'devoted', 'just']"
pure,"['real', 'perfect', 'natural', 'classic', 'simple', 'plain', 'bright', 'neat', 'clear', 'complete', 'fair', 'straight', 'total', 'true']"
real,"['actual', 'evident', 'solid', 'certain', 'substantial', 'positive', 'legitimate', 'honest', 'physical', 'original', 'absolute', 'sound', 'firm', 'right', 'material', 'concrete', 'stable', 'essential', 'present', 'existing', 'live', 'valid', 'true']"
actual,"['certain', 'substantial', 'physical', 'absolute', 'concrete', 'confirmed', 'genuine', 'hard', 'positive', 'realistic', 'true']"
certain,"['positive', 'sure', 'convinced', 'assured', 'believing', 'calm', 'satisfied', 'secure']"
positive,"['specific', 'confident', 'clear', 'real', 'firm', 'express', 'rank', 'concrete', 'perfect', 'absolute', 'actual', 'assured', 'complete', 'convinced', 'decided', 'direct', 'explicit', 'genuine', 'hard', 'sure']"
clear,"['sunny', 'fair', 'light', 'crystal', 'fine', 'shining', 'pleasant']"
fair,"['civil', 'proper', 'generous', 'decent', 'objective', 'good', 'reasonable', 'legitimate', 'equal', 'honest', 'clean', 'square', 'just', 'open', 'straight', 'moderate']"
civil,"['local', 'domestic', 'national', 'civilian', 'home', 'interior', 'municipal', 'political', 'public']"
local,"['regional', 'town', 'limited', 'neighborhood', 'district', 'parish', 'narrow', 'civic']"
regional,['local']
civic,"['civil', 'urban', 'national', 'local', 'metropolitan', 'municipal', 'public']"
urban,"['downtown', 'civil', 'metropolitan', 'civic', 'central', 'municipal', 'popular', 'public', 'town', 'village']"
downtown,"['urban', 'main', 'central', 'metropolitan', 'business']"
central,"['key', 'important', 'fundamental', 'basic', 'significant', 'essential', 'prime', 'dominant', 'center', 'radical', 'primary', 'middle', 'chief', 'master', 'ruling', 'leading', 'interior', 'mean', 'inner', 'outstanding']"
key,"['major', 'leading', 'crucial', 'primary', 'vital', 'fundamental', 'basic', 'main', 'principal', 'chief', 'material']"
leading,"['dominant', 'outstanding', 'top', 'well-known', 'famous', 'popular', 'prominent', 'main', 'noted', 'best', 'principal', 'initial', 'champion', 'primary', 'governing', 'dominating', 'ruling', 'first', 'highest', 'greatest']"
top,"['finest', 'dominant', 'leading', 'primary', 'excellent', 'elite', 'principal', 'prime', 'superior', 'head', 'lead', 'upper', 'crack', 'maximum', 'chief', 'outside', 'ruling', 'capital', 'fine', 'first', 'greatest']"
primary,"['prime', 'dominant', 'leading', 'initial', 'constitutional', 'vital', 'immediate', 'underlying', 'fundamental', 'elementary', 'main', 'essential', 'principal', 'simple', 'central', 'chief', 'first', 'direct', 'earliest']"
initial,"['original', 'basic', 'opening', 'leading', 'pioneer', 'infant', 'initiative', 'fundamental', 'first', 'earliest', 'early', 'elementary']"
original,"['initial', 'prime', 'infant', 'opening', 'beginning', 'primary', 'pioneer', 'starting', 'first', 'early', 'elementary', 'genuine']"
pioneer,"['prime', 'head', 'brave', 'lead', 'initial', 'primary', 'original', 'experimental']"
head,"['prime', 'champion', 'principal', 'leading', 'pioneer', 'front', 'main', 'first', 'highest']"
champion,"['super', 'prime', 'superior', 'head', 'choice', 'first', 'chief', 'capital', 'cool', 'distinguished', 'principal', 'outstanding', 'tops', 'greatest']"
super,"['great', 'outstanding', 'terrific', 'divine', 'neat', 'wonderful']"
terrific,"['great', 'huge', 'tremendous', 'terrible', 'horrible', 'awful', 'enormous', 'excessive', 'extreme', 'fierce', 'harsh', 'large', 'severe', 'shocking', 'upsetting']"
extreme,"['severe', 'intense', 'top', 'maximum', 'high', 'ultimate', 'highest']"
severe,"['serious', 'harsh', 'strict', 'biting', 'close', 'cold', 'cruel', 'cutting', 'firm', 'forbidding', 'grave', 'hard', 'resolved']"
serious,"['genuine', 'honest', 'severe', 'bound', 'determined', 'grave', 'intent', 'set', 'staid', 'steady', 'resolved']"
genuine,"['natural', 'positive', 'honest', 'certain', 'legitimate', 'pure', 'absolute', 'accurate', 'actual', 'exact', 'good', 'hard', 'official', 'original', 'plain', 'precise', 'proved', 'sound']"
natural,"['logical', 'legitimate', 'reasonable', 'ordinary', 'usual', 'essential', 'common', 'constant', 'familiar', 'universal', 'general', 'regular', 'characteristic', 'uniform', 'native', 'anticipated', 'consistent', 'indigenous', 'inherent', 'prevailing', 'typical']"
logical,"['relevant', 'necessary', 'consistent', 'convincing', 'valid', 'obvious', 'legitimate', 'rational', 'compelling', 'intelligent', 'wise', 'clear', 'fair', 'sound', 'subtle', 'telling']"
necessary,"['fundamental', 'required', 'crucial', 'needed', 'vital', 'significant', 'basic', 'prime', 'binding', 'chief', 'pressing', 'principal', 'compelling', 'elementary', 'specified', 'wanted']"
fundamental,"['major', 'crucial', 'constitutional', 'theoretical', 'underlying', 'necessary', 'vital', 'significant', 'radical', 'elementary', 'central', 'principal', 'essential', 'structural', 'prime', 'supporting', 'organic', 'bottom', 'primary', 'key', 'original', 'first', 'sustaining']"
crucial,"['deciding', 'necessary', 'pressing', 'compelling', 'vital', 'central', 'essential', 'desperate', 'searching']"
deciding,"['prime', 'chief', 'necessary', 'key', 'principal', 'critical', 'crucial', 'important', 'influential', 'significant']"
chief,"['prime', 'leading', 'main', 'principal', 'superior', 'head', 'star', 'champion', 'grand', 'major', 'primary', 'ruling', 'key', 'capital', 'telling', 'central', 'first', 'controlling', 'crucial', 'effective', 'highest', 'outstanding', 'significant', 'vital']"
star,"['major', 'dominant', 'leading', 'celebrated', 'chief', 'capital', 'main', 'principal', 'brilliant', 'outstanding', 'prominent', 'talented', 'well-known']"
celebrated,"['great', 'important', 'large', 'outstanding', 'popular', 'prominent', 'well-known']"
important,"['great', 'relevant', 'necessary', 'extensive', 'influential', 'big', 'crucial', 'large', 'vital', 'critical', 'significant', 'serious', 'meaningful', 'essential', 'chief', 'considerable', 'determining', 'grave', 'heavy', 'marked', 'material', 'pressing', 'primary', 'principal', 'signal', 'something']"
extensive,"['huge', 'comprehensive', 'major', 'large', 'broad', 'sweeping', 'considerable', 'vast', 'big', 'extended', 'general', 'great', 'long', 'universal', 'wide', 'widespread', 'expanded', 'comprising']"
comprehensive,"['full', 'complete', 'broad', 'global', 'overall', 'sweeping', 'extensive', 'blanket', 'general', 'whole', 'absolute', 'wide', 'widespread', 'comprising', 'containing']"
full,"['entire', 'complete', 'crowded', 'big', 'sufficient', 'adequate', 'intact', 'packed', 'bursting', 'satisfied', 'padded', 'burdened', 'loaded', 'stuffed', 'stocked']"
entire,"['full', 'integrated', 'sound', 'gross', 'perfect', 'total', 'absolute', 'all', 'continuous', 'intact']"
integrated,"['mixed', 'combined']"
