contented,"['satisfied', 'pleased', 'glad', 'content', 'comfortable']","['upset', 'sad', 'unhappy', 'disturbed']"
good,"['great', 'satisfying', 'positive', 'acceptable', 'valuable', 'bad', 'wonderful', 'favorable', 'excellent', 'sound', 'superior', 'pleasing', 'welcome', 'prime', 'capital', 'choice', 'super', 'nice', 'precious', 'select']","['OK', 'minor', 'evil', 'poor', 'expected', 'ordinary', 'mean']"
great,"['huge', 'enormous', 'tremendous', 'big', 'terrible', 'high', 'strong', 'considerable', 'vast', 'extreme', 'fat', 'bull', 'decided', 'excessive', 'extended', 'extensive', 'long', 'numerous', 'towering']","['tiny', 'few', 'unknown', 'stupid', 'little', 'minute', 'small', 'low', 'soft', 'weak', 'mild', 'moderate', 'limited', 'thin', 'short', 'poor']"
tremendous,"['fantastic', 'incredible', 'terrific', 'amazing', 'wonderful', 'great', 'extraordinary', 'excellent', 'vast', 'enormous', 'terrible', 'massive', 'awful', 'large', 'super', 'towering', 'whale', 'cracking']","['usual', 'tiny', 'pleasant', 'wonderful', 'common', 'conventional', 'familiar', 'ordinary', 'plain', 'little', 'small', 'bad', 'poor', 'expected', 'normal', 'nice', 'weak', 'minute']"
fantastic,"['incredible', 'crazy', 'ridiculous', 'weird', 'odd', 'exotic', 'artificial', 'extreme', 'foreign', 'mad', 'unlikely']","['rational', 'real', 'usual', 'logical', 'tiny', 'balanced', 'reasonable', 'normal', 'ordinary', 'regular', 'realistic', 'familiar', 'serious', 'common', 'conventional', 'plain', 'little', 'small', 'bad', 'poor']"
incredible,"['ridiculous', 'impossible', 'suspect']","['possible', 'terrible', 'reasonable', 'realistic', 'bad', 'poor']"
ridiculous,"['incredible', 'fantastic', 'silly', 'impossible']","['possible', 'logical', 'usual', 'wise', 'bad', 'poor', 'reasonable', 'good', 'serious']"
silly,"['crazy', 'stupid', 'simple', 'ridiculous', 'empty']","['intelligent', 'wise', 'reasonable', 'responsible', 'smart', 'serious', 'practical']"
crazy,"['nuts', 'silly', 'mad', 'cracked', 'flipped']","['rational', 'collected', 'balanced', 'reasonable', 'sound', 'calm', 'realistic', 'responsible', 'smart', 'hate']"
nuts,"['mad', 'touched', 'wild']","['rational', 'OK', 'balanced', 'reasonable', 'sound', 'calm']"
mad,"['fantastic', 'distracted', 'mental']","['collected', 'rational', 'wise', 'OK', 'calm', 'balanced', 'reasonable', 'sound', 'cheered', 'happy']"
distracted,"['disturbed', 'panicked']",[]
disturbed,"['confused', 'upset', 'disordered']","['ordered', 'organized', 'neat']"
confused,"['puzzled', 'distracted', 'thrown']","['composed', 'organized', 'understanding', 'ordered', 'separated', 'clear']"
puzzled,"['thrown', 'lost', 'stuck', 'floored', 'shook']","['aware', 'clear', 'certain', 'sure']"
sent,"['directed', 'gone', 'ordered', 'issued', 'transported', 'mailed', 'committed', 'appointed', 'commissioned', 'transmitted', 'posted']",['kept']
directed,"['controlled', 'organized', 'aimed', 'managed', 'conducted', 'guided', 'counseled', 'focused', 'sponsored', 'assisted']",['wandering']
controlled,"['composed', 'guarded', 'calm', 'cool', 'contained']",['excited']
guarded,"['reserved', 'calculating', 'careful', 'safe']",['bold']
calculating,"['guarded', 'designing', 'careful', 'cunning', 'intelligent', 'safe', 'sharp']","['honest', 'open']"
designing,"['sharp', 'cunning']","['honest', 'kind']"
sharp,"['pointed', 'fine', 'peaked', 'edged', 'tipped']","['stupid', 'honest', 'boring', 'old-fashioned', 'kind', 'slow', 'calm', 'mild', 'moderate', 'nice', 'flat', 'low']"
pointed,"['sharp', 'peaked', 'fine', 'edged', 'cornered']","['calming', 'mild', 'nice']"
peaked,['ill'],"['healthy', 'colorful']"
ill,"['down', 'peaked']","['healthy', 'good', 'sound', 'strong', 'well']"
down,"['sinking', 'depressed', 'descending', 'falling', 'under', 'sliding', 'slipping', 'dropping', 'declining']","['higher', 'above', 'happy']"
falling,"['lowering', 'plunging', 'descending', 'sinking', 'collapsing', 'weakening', 'decreasing', 'sliding', 'settling', 'diminishing', 'slipping', 'declining']","['improving', 'rising', 'increasing']"
shocking,"['terrible', 'ugly', 'horrible', 'awful', 'burning', 'crying', 'desperate', 'offensive']","['comforting', 'pleasant', 'pleasing', 'wonderful', 'attractive', 'lovely', 'beautiful', 'calming', 'good', 'nice']"
terrible,"['disturbing', 'awful', 'extreme', 'dangerous', 'severe', 'serious', 'shocking', 'desperate', 'offensive', 'poor']","['pleasant', 'pleasing', 'wonderful', 'lucky', 'beautiful', 'calming', 'comforting', 'good', 'happy', 'nice', 'mild', 'great']"
disturbing,"['alarming', 'threatening', 'discouraging', 'painful', 'upsetting', 'worrying', 'provoking', 'trying', 'difficult', 'hard', 'severe', 'uncertain', 'troubling']","['helpful', 'pleasant', 'pleasing', 'comforting', 'encouraging', 'easy', 'nice', 'good', 'happy']"
alarming,"['dangerous', 'disturbing']",['comforting']
dangerous,"['threatening', 'deadly', 'terrible', 'bad', 'critical', 'alarming', 'serious', 'nasty', 'fatal', 'risky', 'delicate', 'exposed', 'loaded', 'pressing', 'vulnerable']","['honest', 'healthy', 'pleasant', 'wonderful', 'stable', 'pleasing', 'kind', 'OK', 'careful', 'guarded', 'true', 'strong', 'good', 'nice', 'safe', 'secure', 'great', 'certain', 'sure', 'happy']"
threatening,"['dangerous', 'ugly', 'alarming', 'aggressive', 'lowering', 'near', 'warning', 'black', 'close']","['kind', 'far', 'pleasant', 'safe', 'nice', 'good', 'away', 'distant', 'remote']"
ugly,"['awful', 'animal', 'gross', 'plain']","['beautiful', 'pretty', 'pleasing', 'attractive', 'lovely', 'kind', 'pleasant', 'nice', 'good', 'delicate', 'gentle', 'safe']"
awful,"['tough', 'horrible', 'ugly', 'nasty', 'shocking', 'alarming', 'offensive']","['encouraging', 'pleasant', 'pleasing', 'wonderful', 'comforting', 'kind', 'calming', 'attractive', 'beautiful', 'OK', 'happy', 'delicate', 'gentle', 'nice', 'good', 'safe', 'great']"
horrible,"['awful', 'nasty', 'scary', 'terrible', 'cruel', 'shocking', 'mean', 'offensive']","['pleasant', 'pleasing', 'wonderful', 'attractive', 'beautiful', 'pretty', 'kind', 'calming', 'encouraging', 'comforting', 'good', 'nice', 'great', 'happy', 'gentle']"
nasty,"['tough', 'awful', 'dirty', 'horrible', 'fierce', 'rough', 'gross', 'soiled']","['kind', 'pleasant', 'pleasing', 'wonderful', 'moral', 'friendly', 'assisting', 'helpful', 'gentle', 'nice', 'tender', 'easy', 'good', 'pure', 'mild', 'calm', 'great', 'clean', 'decent', 'happy', 'aiding', 'helping', 'safe']"
dirty,"['nasty', 'spotted', 'black']","['ordered', 'moral', 'clean', 'clear', 'bright', 'neat', 'pure', 'decent', 'good', 'nice']"
black,"['jet', 'coal', 'pitch', 'clouded']","['white', 'clean', 'happy', 'good']"
jet,"['midnight', 'dark']",['white']
dark,"['black', 'faint', 'vague', 'clouded', 'shaded']","['intelligent', 'visible', 'evident', 'encouraging', 'moral', 'pleased', 'bright', 'clear', 'distinct', 'light', 'good', 'smart', 'sunny', 'happy', 'clean', 'brilliant', 'shining', 'apparent', 'plain']"
faint,"['remote', 'slight', 'weak', 'gentle', 'mild', 'distant', 'soft', 'vague', 'delicate', 'deep', 'padded', 'pale', 'aside', 'low', 'piano', 'moderate', 'whispered', 'light', 'smooth', 'quiet', 'thin', 'faded', 'muttering', 'softened']","['intelligent', 'nearby', 'friendly', 'healthy', 'brave', 'bright', 'clear', 'distinct', 'smart', 'close', 'near', 'warm', 'sharp', 'thick', 'firm', 'strong', 'loud', 'certain', 'sure', 'rough', 'violent', 'harsh', 'colorful', 'heavy', 'bold']"
remote,"['unknown', 'isolated', 'private', 'lonely', 'distant', 'frontier', 'far', 'back', 'alien', 'secret', 'wild', 'beyond', 'foreign', 'removed', 'retired']","['known', 'loved', 'nearby', 'related', 'relevant', 'likely', 'possible', 'friendly', 'open', 'public', 'close', 'near', 'gentle', 'warm']"
unknown,"['exotic', 'remote', 'foreign', 'strange', 'anonymous', 'new', 'dark', 'alien', 'far', 'secret', 'distant', 'hidden']","['usual', 'known', 'relevant', 'familiar', 'normal', 'identified', 'native', 'regular', 'common', 'named']"
exotic,"['romantic', 'colorful', 'unusual', 'alien', 'strange', 'curious', 'fascinating', 'different', 'external', 'extraordinary', 'foreign', 'introduced', 'outside', 'striking']","['boring', 'standard', 'usual', 'common', 'familiar', 'normal', 'regular', 'ordinary', 'native']"
romantic,"['exotic', 'fascinating', 'colorful', 'exciting', 'fantastic', 'charming', 'tender', 'mysterious', 'wild', 'daring', 'loving']","['usual', 'boring', 'real', 'familiar', 'ordinary', 'cold', 'cool', 'plain', 'realistic']"
fascinating,"['gripping', 'appealing', 'charming', 'engaging', 'compelling', 'attractive']",['boring']
gripping,"['fascinating', 'interesting', 'exciting', 'arresting', 'consuming']",['boring']
interesting,"['beautiful', 'attractive', 'lovely', 'fascinating', 'striking', 'exotic', 'unusual', 'engaging', 'compelling', 'curious', 'pleasing', 'stimulating', 'impressive', 'gripping', 'inviting', 'absorbing', 'winning', 'arresting', 'affecting', 'entrancing', 'fine', 'stirring', 'elegant', 'magnetic', 'suspicious']","['boring', 'usual', 'ugly', 'familiar', 'normal', 'ordinary']"
beautiful,"['cute', 'fascinating', 'fine', 'wonderful', 'pretty', 'grand', 'lovely', 'charming', 'delicate', 'handsome', 'pleasing', 'elegant', 'appealing', 'divine', 'excellent', 'fair', 'ideal', 'nice', 'taking']","['horrible', 'ugly', 'bad', 'offensive', 'poor', 'ordinary', 'rough', 'plain']"
cute,"['beautiful', 'charming', 'pleasant', 'pretty']","['offensive', 'ugly', 'unhappy']"
charming,"['pleasant', 'fascinating', 'cute', 'absorbing', 'sweet', 'appealing', 'engaging', 'elegant', 'inviting', 'lovely', 'attractive', 'winning', 'entrancing', 'pleasing', 'choice', 'delicate', 'nice']","['boring', 'unhappy', 'ugly', 'bad', 'mean', 'offensive']"
absorbing,"['gripping', 'fascinating', 'interesting', 'arresting', 'consuming', 'exciting']",['boring']
arresting,"['impressive', 'remarkable', 'striking', 'extraordinary', 'pointed', 'bold', 'outstanding', 'prominent']","['usual', 'normal', 'ordinary', 'ugly']"
impressive,"['remarkable', 'profound', 'imposing', 'dramatic', 'extraordinary', 'important', 'massive', 'exciting', 'intense', 'absorbing', 'affecting', 'effective', 'excited', 'grand', 'inspiring', 'moving', 'stirring', 'striking', 'touching', 'towering', 'vital', 'arresting']","['usual', 'poor', 'ordinary', 'normal', 'mild', 'moderate', 'common', 'little', 'small', 'weak']"
remarkable,"['curious', 'wonderful', 'odd', 'outstanding', 'striking', 'strange', 'important', 'significant', 'surprising', 'unique', 'rare', 'impressive', 'solid', 'distinguished', 'famous', 'marked', 'prominent', 'signal', 'super', 'arresting', 'greatest']","['usual', 'like', 'similar', 'standard', 'typical', 'common', 'ordinary', 'average', 'normal', 'bad', 'poor', 'regular', 'familiar']"
curious,"['interested', 'puzzled', 'questioning', 'searching', 'interfering', 'examining', 'peering']","['usual', 'average', 'normal', 'ordinary']"
interested,"['involved', 'absorbed', 'excited', 'moved', 'open', 'impressed', 'occupied', 'hooked', 'stimulated', 'touched', 'taken', 'drawn', 'struck', 'biased', 'affected', 'sold', 'inspired', 'caught', 'intent', 'partial', 'attracted', 'stirred']","['bored', 'OK', 'fair']"
involved,"['elaborate', 'sophisticated', 'winding', 'confusing', 'complex', 'difficult']","['simple', 'clear', 'easy']"
elaborate,"['detailed', 'busy', 'perfected', 'imposing', 'studied', 'sophisticated', 'labored', 'complicated', 'exact', 'careful', 'complex', 'elegant', 'extensive', 'minute', 'precise', 'decorated']","['usual', 'natural', 'easy', 'simple', 'general', 'normal', 'plain', 'regular']"
detailed,"['precise', 'comprehensive', 'specific', 'complicated', 'exact', 'accurate', 'full', 'complete', 'developed', 'elaborate', 'exhausting', 'specified', 'narrow', 'individual', 'minute', 'nice', 'described', 'elaborated', 'unfolded', 'disclosed']","['uncertain', 'vague', 'sparing', 'false', 'simple', 'brief']"
precise,"['particular', 'actual', 'explicit', 'specific', 'strict', 'proper', 'narrow', 'correct', 'absolute', 'express', 'fixed', 'individual', 'limited', 'nice', 'restricted', 'right', 'very']","['vague', 'uncertain', 'general', 'flexible', 'yielding', 'loose', 'false']"
particular,"['precise', 'distinct', 'appropriate', 'special', 'limited', 'full', 'express', 'individual', 'local', 'minute', 'accurate', 'detailed']","['usual', 'normal', 'ordinary', 'regular', 'general', 'common']"
distinct,"['specific', 'clear', 'decided', 'evident', 'explicit', 'express', 'marked', 'patent', 'plain', 'sharp']","['uncertain', 'vague', 'connected', 'like', 'resembling', 'similar']"
specific,"['precise', 'limited', 'different', 'distinct', 'explicit', 'individual', 'specialized', 'unique', 'exact', 'special', 'characteristic', 'express', 'set', 'sole', 'reserved', 'restricted']","['like', 'resembling', 'similar', 'standard', 'vague', 'uncertain', 'usual', 'normal', 'common', 'ordinary', 'general']"
limited,"['narrow', 'particular', 'fixed', 'controlled', 'reserved', 'bound', 'qualified', 'modified', 'local', 'precise', 'defined', 'checked']","['adequate', 'OK', 'sufficient', 'general', 'free']"
narrow,"['precise', 'limited', 'tight', 'thin', 'small', 'exclusive', 'set', 'close', 'fine', 'select', 'spare', 'shrunken', 'near', 'fixed', 'pent', 'contracted']","['far', 'loose', 'strong', 'fat', 'free', 'open', 'giving', 'away', 'poor', 'thick', 'broad', 'generous', 'liberal', 'wide', 'accepting', 'wasting']"
thin,"['fragile', 'lean', 'delicate', 'small', 'narrow', 'slight', 'pole', 'spare', 'wasted', 'shadow', 'peaked', 'subtle']","['large', 'efficient', 'strong', 'fat', 'liberal', 'big', 'wide', 'thick', 'heavy', 'generous', 'colorful', 'dense', 'solid', 'concentrated']"
fragile,"['weak', 'delicate', 'fine', 'slight']","['healthy', 'firm', 'strong', 'able', 'tough']"
weak,"['uncertain', 'weakened', 'fragile', 'delicate', 'exhausted', 'faint', 'spent', 'tender', 'wasted']","['powerful', 'healthy', 'stable', 'brave', 'confident', 'capable', 'sufficient', 'guarded', 'protected', 'firm', 'steady', 'certain', 'sure', 'active', 'strong', 'able', 'bold', 'loud', 'fit', 'safe', 'secure', 'concentrated', 'thick']"
uncertain,"['risky', 'vague', 'variable']","['determined', 'settled', 'reliable', 'certain', 'sure', 'clear', 'secure', 'decided', 'safe', 'resolved']"
risky,"['uncertain', 'sensitive', 'delicate']","['honest', 'healthy', 'stable', 'protected', 'certain', 'secure', 'sure', 'strong', 'well', 'safe', 'assured']"
sensitive,"['precise', 'nervous', 'conscious', 'delicate', 'emotional', 'knowing', 'seeing', 'understanding', 'feeling', 'fine', 'perceiving']","['loose', 'calm', 'strong']"
nervous,"['afraid', 'concerned', 'weak', 'shy', 'bothered', 'disturbed', 'sensitive', 'shrinking', 'troubled', 'upset', 'worried']","['brave', 'composed', 'confident', 'collected', 'sufficient', 'firm', 'certain', 'sure', 'calm', 'happy', 'bold', 'cool']"
afraid,"['nervous', 'scared', 'suspicious', 'shocked', 'anxious', 'alarmed', 'discouraged', 'disturbed', 'frozen', 'upset', 'worried', 'cowed']","['brave', 'composed', 'confident', 'eager', 'calm', 'happy', 'bold', 'cool']"
scared,"['afraid', 'anxious', 'shaken', 'panicked']","['brave', 'confident', 'encouraged', 'bold', 'cool', 'happy']"
anxious,"['afraid', 'nervous', 'concerned', 'careful', 'scared', 'disturbed', 'shaking', 'troubled', 'bugged']","['brave', 'composed', 'confident', 'collected', 'content', 'peaceful', 'bold', 'cool', 'happy', 'quiet', 'calm', 'assured']"
concerned,"['anxious', 'disturbed', 'troubled', 'bothered', 'upset', 'exercised']","['collected', 'peaceful', 'composed', 'calm', 'happy', 'cool']"
troubled,"['puzzled', 'concerned', 'confused', 'anxious', 'pained', 'disturbed', 'bothered', 'scared', 'provoked', 'alarmed', 'shaken', 'upset', 'afraid']","['content', 'pleased', 'collected', 'composed', 'peaceful', 'settled', 'calm', 'happy', 'certain', 'sure', 'comforted', 'cool', 'quiet', 'balanced', 'sound']"
pained,"['troubled', 'injured', 'worried', 'hurt']","['collected', 'calm']"
wounded,"['disabled', 'damaged', 'harmed', 'beaten', 'hurt']","['healthy', 'perfect']"
disabled,"['wounded', 'weakened', 'hurt']","['healthy', 'firm', 'strong', 'able']"
weakened,"['exhausted', 'weak', 'faint', 'drained']","['active', 'firm', 'strong']"
exhausted,"['disabled', 'weak', 'drained', 'weakened', 'spent', 'worn']","['restored', 'stored', 'able', 'active', 'firm', 'strong', 'fresh', 'plenty', 'saved']"
drained,"['dragging', 'spent', 'dead']",['full']
dragging,"['boring', 'long']","['exciting', 'interesting']"
boring,"['tiring', 'stupid', 'stereotyped', 'nothing', 'routine']","['exciting', 'interesting', 'intelligent', 'current', 'unusual', 'fascinating', 'smart', 'bright', 'new', 'different']"
demanding,"['tough', 'taxing', 'hard', 'pressing', 'exhausting', 'strict', 'critical', 'ambitious', 'exacting', 'trying', 'difficult', 'wearing']","['uncertain', 'easy', 'flexible', 'nice', 'yielding', 'mild', 'simple']"
taxing,"['demanding', 'disturbing', 'trying', 'wearing', 'punishing', 'tiring', 'exacting', 'difficult', 'heavy', 'tough']",['easy']
trying,"['taxing', 'upsetting', 'demanding', 'fatiguing', 'exacting', 'rough', 'hard', 'severe', 'tight', 'tough']","['easy', 'mild', 'moderate']"
upsetting,"['alarming', 'threatening', 'discouraging', 'painful', 'trying', 'worrying', 'provoking', 'difficult', 'hard', 'severe', 'uncertain', 'troubling']","['helpful', 'pleasant', 'pleasing', 'comforting', 'encouraging', 'calming', 'easy', 'nice', 'good', 'settling', 'happy']"
discouraging,['black'],"['encouraging', 'pleasant', 'inspiring', 'bright', 'happy', 'light', 'sunny', 'favorable']"
encouraging,"['supportive', 'promising']",[]
secondary,"['supporting', 'lower', 'extra', 'dependent', 'second', 'relief', 'small', 'subject', 'minor', 'reserve', 'lesser', 'under']","['useful', 'valuable', 'primary', 'huge', 'large', 'chief', 'important', 'significant', 'big', 'necessary', 'main', 'major', 'superior', 'source']"
supporting,"['for', 'aiding']","['opposing', 'main', 'against']"
main,"['prime', 'major', 'central', 'leading', 'primary', 'vital', 'fundamental', 'particular', 'essential', 'special', 'head', 'star', 'chief', 'capital', 'necessary', 'controlling', 'critical', 'crucial', 'outstanding', 'prevailing']","['minor', 'usual', 'extra', 'secondary', 'common', 'ordinary']"
major,"['dominant', 'big', 'primary', 'large', 'leading', 'extensive', 'main', 'considerable', 'superior', 'upper', 'better', 'elder', 'chief', 'above', 'senior', 'extreme', 'higher', 'most', 'greater', 'larger', 'exceeding']","['tiny', 'lower', 'minor', 'junior', 'lesser', 'secondary', 'little', 'small', 'short', 'below']"
dominant,"['principal', 'leading', 'commanding', 'powerful', 'effective', 'main', 'prevailing', 'governing', 'chief', 'ruling', 'first', 'obtaining']","['extra', 'minor', 'retiring', 'secondary', 'weak', 'modest', 'reserved']"
principal,"['prime', 'major', 'dominant', 'outstanding', 'leading', 'primary', 'key', 'main', 'prominent', 'superior', 'head', 'star', 'champion', 'maximum', 'chief', 'capital', 'essential', 'first', 'controlling', 'highest', 'prevailing', 'greatest', 'strongest']","['lesser', 'minor', 'unknown', 'last', 'lower', 'least', 'extra', 'secondary', 'ordinary', 'poor']"
